plant_name_en,infection_status_en,Disease_Name_en,Recomandation_for_treatment_en,plant_name_ar,infection_status_ar ,Disease_Name_ar,Recomandation_for_treatment_ar,,
Potato,infected,Potato_Potato_Late Blight,"1.Cultural Control :
# Remove Infected Leaves & Plants – Cut and destroy infected plant parts to prevent spread.

 #Proper Spacing & Air Circulation – Ensure good airflow between plants to reduce humidity.
2. Biological Control (Eco-Friendly Treatment):

# Use Biocontrol Agents – Apply Trichoderma harzianum or Bacillus subtilis to suppress the pathogen.
#Neem Oil & Baking Soda Spray – Mix 1 teaspoon of baking soda with 1 liter of water and a few drops of neem oil to slow fungal spread.
# Compost Tea Spray – Strengthens plant immunity and helps suppress late blight spores.
3. Chemical Control (Fungicides):
#Copper-Based Fungicides – Apply copper sulfate or copper hydroxide before symptoms appear
Systemic Fungicides – Use targeted treatments like:   
-Metalaxyl (Ridomil)
-Fluopicolide
-Mandipropamid
-Dimethomorph",بطاطا,مصابة ,الفحة المتأخرة,"1.باستخدام الطرق التقليدية:
إ#زالة الأوراق والنباتات المصابة - قطع وتدمير أجزاء النبات المصابة لمنع انتشار المرض.
# التباعد المناسب ودوران الهواء - تأكد من تدفق الهواء الجيد بين النباتات لتقليل الرطوبة.
2.المكافحة البيولوجية:
ا#ستخدام عوامل المكافحة البيولوجية - رشّ فطريات التريكوديرما هارزيانوم أو العصوية الرقيقة للقضاء على مسببات الأمراض.

# بخاخ زيت النيم وصودا الخبز - اخلط ملعقة صغيرة من صودا الخبز مع لتر واحد من الماء وبضع قطرات من زيت النيم لإبطاء انتشار الفطريات.

# بخاخ شاي السماد - يقوي مناعة النبات ويساعد في القضاء على جراثيم اللفحة المتأخرة.                        3. المكافحة الكيميائية (مبيدات الفطريات):

#مبيدات الفطريات القائمة على النحاس - رش كبريتات النحاس أو هيدروكسيد النحاس قبل ظهور الأعراض.

مبيدات الفطريات الجهازية - استخدم علاجات موجهة مثل:-Metalaxyl (Ridomil)-
-Fluopicolide-
-Mandipropamid-
-Dimethomorph-",,
Strawberry,healthy,Strawberry_Strawberry_healthy,the plant is health,فراولة ,سليمة ,لا يوجد ,النبات سليم لا يحتاج الى علاج,,
Strawberry,infected,Strawberry_Strawberry_Leaf Scorch,"1. Use of Fungicides:
Spray with fungicides such as Mancozeb, Copper-based fungicides, or Myclobutanil.
It is recommended to spray every 7-14 days when the first symptoms appear.

2. Improve Ventilation and Reduce Humidity:

Grow strawberries in sunny areas with adequate spacing between plants.
Use drip irrigation instead of overhead watering to avoid wetting the leaves.
Remove weeds around the plants to reduce humidity and improve air circulation.

3. Remove Infected Parts:

Trim infected leaves and dispose of them away from the field.
Do not leave infected leaves on the soil, as they may spread the infection to other plants.

4. Choose Resistant Varieties:

Plant resistant varieties to reduce the likelihood of leaf spot infections.

5. Balanced Fertilization:

Avoid excessive nitrogen fertilization as it can increase the plant’s sensitivity to diseases.
Promote plant health by using fertilizers containing potassium and calcium to strengthen the leaves.",فراولة ,مصابة ,احتراق الاوراق,"الرش بمبيدات مثل Mancozeb، Copper-based fungicides، أو Myclobutanil.
يفضل الرش كل 7-14 يومًا عند ظهور الأعراض الأولى.
2. تحسين التهوية وتقليل الرطوبة:

زراعة الفراولة في أماكن مشمسة مع مسافات كافية بين النباتات.
استخدام الري بالتنقيط بدلًا من الري بالرش لتجنب ترطيب الأوراق.
إزالة الأعشاب الضارة حول النباتات لتقليل الرطوبة وزيادة التهوية.
3. إزالة الأجزاء المصابة:

تقليم الأوراق المصابة والتخلص منها بعيدًا عن الحقل.
عدم ترك الأوراق المصابة على التربة لأنها قد تنقل العدوى للنباتات الأخرى.
4. اختيار أصناف مقاومة:

زراعة أصناف مقاومة لبقع الأوراق لتقليل فرص الإصابة.
5. التسميد المتوازن:

تجنب الإفراط في التسميد النيتروجيني لأنه قد يزيد من حساسية النبات للأمراض.
تعزيز صحة النبات باستخدام سماد يحتوي على البوتاسيوم والكالسيوم لتقوية الأوراق.",,
Tomato,infected,Tomato bacterial spot,"Use copper-based fungicides (such as copper oxychloride) while avoiding excessive application to reduce bacterial resistance.
Plant resistant varieties.
Avoid overhead irrigation to prevent the spread of bacteria through water.
Remove and destroy infected leaves",بندوره,مصابة ,التبقع البكتيري ,"استخدام مبيدات نحاسية (مثل أوكسي كلوريد النحاس) مع تجنب الإفراط لتقليل مقاومة البكتيريا.
زراعة أصناف مقاومة.
تجنب الري بالرش لمنع انتشار البكتيريا بالماء.
إزالة الأوراق المصابة وتدميرها.",,
Tomato,infected,Tomato early blight,"Spray fungicides such as Chlorothalonil or Mancozeb every 7-10 days.
Grow tomatoes in well-ventilated areas and avoid dense planting.
Improve soil drainage and use drip irrigation instead of overhead watering.",بندوره ,مصابة ,الفحه المبكرة,"رش مبيدات فطرية مثل Chlorothalonil أو Mancozeb كل 7-10 أيام.
زراعة الطماطم في أماكن جيدة التهوية وتجنب الزراعة الكثيفة.
تحسين تصريف التربة والري بالتنقيط بدلًا من الري العلوي.",,
Tomato,healthy,Tomato hralthy,the plant is health,بندوره ,سليمة  ,لا يوجد ,النبات سليم لا يحتاج الى علاج,,
Tomato,infected,Tomato late blight,"Use fungicides such as Mancozeb, Chlorothalonil, or copper-based fungicides.
Remove infected leaves quickly to reduce disease spread.
Improve air circulation between plants.",بندوره ,مصابة ,الفحة المتأخرة,"استخدام مبيدات فطرية مثل Mancozeb، Chlorothalonil، أو Copper-based fungicides.
إزالة الأوراق المصابة بسرعة لتقليل انتشار المرض.
تحسين دوران الهواء بين النباتات.",,
Tomato,infected,Tomato leaf mold,"Use fungicides such as Chlorothalonil or copper fungicides.
Ensure good ventilation and reduce humidity.
Remove infected leaves and avoid overhead watering.",بندوره ,مصابة ,العفن الورقي,"استخدام مبيدات فطرية مثل Chlorothalonil أو Copper fungicides.
توفير تهوية جيدة وتقليل الرطوبة.
إزالة الأوراق المصابة وتجنب الري العلوي.",,
Tomato,infected,Tomato target spot,"Use fungicides such as Chlorothalonil or Mancozeb.
Remove infected plant parts and improve air circulation between plants.
Avoid overwatering and reduce humidity around the plant.",بندوره ,مصابة ,بقعة الهدف,"استخدام مبيدات فطرية مثل Chlorothalonil أو Mancozeb.
إزالة الأجزاء المصابة من النبات وتحسين دوران الهواء بين النباتات.
تجنب الإفراط في الري وتقليل الرطوبة حول النبات.",,
Tomato,infected,Tomato yellow leaf curl virus,"Grow resistant varieties such as TYLCV-resistant tomatoes.
Control whiteflies (the primary vector) using pesticides like Imidacloprid or Thiamethoxam.
Use protective netting around crops to reduce infection.",بندوره ,مصابة ,فايروس تجعد الاوراق الاصفر,"زراعة أصناف مقاومة مثل TYLCV-resistant tomatoes.
مكافحة الذبابة البيضاء (الناقل الأساسي) باستخدام المبيدات مثل Imidacloprid أو Thiamethoxam.
استخدام شبك الحماية حول المحاصيل لتقليل الإصابة.",,
